8-39-5VB1051,8,39,5VB1051,9.0
9-5-Vl. Ardennen,9,5,Vl. Ardennen,8.5
9-7-Vl. Ardennen,9,7,Vl. Ardennen,12.5
9-9-Vl. Ardennen,9,9,Vl. Ardennen,8.5
9-11-Vl. Ardennen,9,11,Vl. Ardennen,11.0
9-13-Vl. Ardennen,9,13,Vl. Ardennen,15.5
9-15-Vl. Ardennen,9,15,Vl. Ardennen,12.0
9-17-gr. corridor,9,17,gr. corridor,15.0
9-19-gr. corridor,9,19,gr. corridor,17.0
9-21-gr. corridor,9,21,gr. corridor,11.0
9-23-gr. corridor,9,23,gr. corridor,12.0
9-25-gr. corridor,9,25,gr. corridor,11.0
9-27-gr. corridor,9,27,gr. corridor,11.5
9-29-5VB1051,9,29,5VB1051,8.0
9-31-5VB1051,9,31,5VB1051,14.0
9-33-5VB1051,9,33,5VB1051,7.0
9-35-5VB1051,9,35,5VB1051,9.0
9-37-5VB1051,9,37,5VB1051,13.0
9-39-5VB1051,9,39,5VB1051,16.0
10-5-D01,10,5,D01,11.0
10-7-D01,10,7,D01,9.0
10-9-D01,10,9,D01,14.5
10-11-D01,10,11,D01,9.0
10-13-D01,10,13,D01,11.0
10-15-D01,10,15,D01,8.0
10-17-W.Vl.Heuvels,10,17,W.Vl.Heuvels,11.5
10-19-W.Vl.Heuvels,10,19,W.Vl.Heuvels,10.0
10-21-W.Vl.Heuvels,10,21,W.Vl.Heuvels,13.0
10-23-W.Vl.Heuvels,10,23,W.Vl.Heuvels,13.0
10-25-W.Vl.Heuvels,10,25,W.Vl.Heuvels,10.5
10-27-W.Vl.Heuvels,10,27,W.Vl.Heuvels,13.0
10-29-6VB1038,10,29,6VB1038,12.0
10-31-6VB1038,10,31,6VB1038,9.0
10-33-6VB1038,10,33,6VB1038,16.0
10-35-6VB1038,10,35,6VB1038,10.0
10-37-6VB1038,10,37,6VB1038,14.0
10-39-6VB1038,10,39,6VB1038,7.0
10-41-Gr. corridor,10,41,Gr. corridor,10.0
10-43-Gr. corridor,10,43,Gr. corridor,11.0
10-45-Gr. corridor,10,45,Gr. corridor,8.5
10-47-Gr. corridor,10,47,Gr. corridor,14.0
11-5-D01,11,5,D01,8.5
11-7-D01,11,7,D01,11.0
11-9-D01,11,9,D01,9.5
11-11-D01,11,11,D01,12.0
11-13-D01,11,13,D01,14.5
11-15-D01,11,15,D01,14.0
11-17-W.Vl.Heuvels,11,17,W.Vl.Heuvels,14.5
11-19-W.Vl.Heuvels,11,19,W.Vl.Heuvels,12.5
11-21-W.Vl.Heuvels,11,21,W.Vl.Heuvels,13.0
11-23-W.Vl.Heuvels,11,23,W.Vl.Heuvels,11.0
11-25-W.Vl.Heuvels,11,25,W.Vl.Heuvels,9.5
11-27-W.Vl.Heuvels,11,27,W.Vl.Heuvels,10.0
11-29-6VB1038,11,29,6VB1038,7.0
11-31-6VB1038,11,31,6VB1038,10.0
11-33-6VB1038,11,33,6VB1038,10.0
11-35-6VB1038,11,35,6VB1038,12.5
11-37-6VB1038,11,37,6VB1038,11.0
11-39-6VB1038,11,39,6VB1038,11.5
11-41-gr. corridor,11,41,gr. corridor,10.0
11-43-gr. corridor,11,43,gr. corridor,8.0
11-45-gr. corridor,11,45,gr. corridor,7.0
11-47-gr. corridor,11,47,gr. corridor,8.0
12-5-D01,12,5,D01,10.0
12-7-D01,12,7,D01,8.0
12-9-D01,12,9,D01,14.0
12-11-D01,12,11,D01,14.0
12-13-D01,12,13,D01,15.0
12-15-D01,12,15,D01,13.0
12-17-W.Vl.Heuvels,12,17,W.Vl.Heuvels,11.5
12-19-W.Vl.Heuvels,12,19,W.Vl.Heuvels,12.5
12-21-W.Vl.Heuvels,12,21,W.Vl.Heuvels,10.0
12-23-W.Vl.Heuvels,12,23,W.Vl.Heuvels,13.5
12-25-W.Vl.Heuvels,12,25,W.Vl.Heuvels,16.0
12-27-W.Vl.Heuvels,12,27,W.Vl.Heuvels,9.0
12-29-6VB1038,12,29,6VB1038,14.0
12-31-6VB1038,12,31,6VB1038,13.0
12-33-6VB1038,12,33,6VB1038,13.0
12-35-6VB1038,12,35,6VB1038,11.0
12-37-6VB1038,12,37,6VB1038,8.0
12-39-6VB1038,12,39,6VB1038,8.5
12-41-Gr. corridor,12,41,Gr. corridor,7.0
